date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:15	1505/1505	---MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:587d850b3563c467daee49798fdea754%22	https://wegotkickspr.com/products/bad-bunny-x-response-cl-paso-fino.oembed	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/products/bad-bunny-x-response-cl-paso-fino.oembed	(from https://wegotkickspr.com/products/bad-bunny-x-response-cl-paso-fino)
21:09:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:09:13%20GMT	http://wegotkickspr.com/cdn/shop/products/b0d252da6d7b4f6650e2a458e9dd9a53.jpg?v=1700888605&width=1946	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/b0d252da6d7b4f6650e2a458e9dd9a5328be.jpg	(from https://wegotkickspr.com/products/bad-bunny-x-response-cl-paso-fino)
21:09:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:09:16%20GMT	http://wegotkickspr.com/cdn/shop/products/b0d252da6d7b4f6650e2a458e9dd9a53.jpg?v=1700888605&width=1445	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/b0d252da6d7b4f6650e2a458e9dd9a532e48.jpg	(from https://wegotkickspr.com/products/bad-bunny-x-response-cl-paso-fino)
21:09:18	126846/126846	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202024%2002:09:15%20GMT	https://wegotkickspr.com/cdn/shop/products/b0d252da6d7b4f6650e2a458e9dd9a53.jpg?v=1700888605&width=1946	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/b0d252da6d7b4f6650e2a458e9dd9a5328be.jpg	(from https://wegotkickspr.com/products/bad-bunny-x-response-cl-paso-fino)
21:09:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:09:17%20GMT	http://wegotkickspr.com/cdn/shop/products/12c6d59620f0083a75b37a6fa85e2f99.jpg?v=1699733348	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/12c6d59620f0083a75b37a6fa85e2f991a36.jpg	(from https://wegotkickspr.com/products/yeezy-slides-slate-grey)
21:09:19	152381/152381	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202024%2002:09:16%20GMT	https://wegotkickspr.com/cdn/shop/products/b0d252da6d7b4f6650e2a458e9dd9a53.jpg?v=1700888605&width=1445	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/b0d252da6d7b4f6650e2a458e9dd9a532e48.jpg	(from https://wegotkickspr.com/products/bad-bunny-x-response-cl-paso-fino)
21:09:19	71519/71519	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Feb%202024%2014:58:54%20GMT	https://wegotkickspr.com/cdn/shop/products/12c6d59620f0083a75b37a6fa85e2f99.jpg?v=1699733348	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/12c6d59620f0083a75b37a6fa85e2f991a36.jpg	(from https://wegotkickspr.com/products/yeezy-slides-slate-grey)
21:09:19	593/593	---MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:51e6610d33a876ab63a00ceedff5881a%22	https://wegotkickspr.com/products/yeezy-slides-slate-grey.oembed	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/products/yeezy-slides-slate-grey.oembed	(from https://wegotkickspr.com/products/yeezy-slides-slate-grey)
21:09:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:09:17%20GMT	http://wegotkickspr.com/cdn/shop/products/12c6d59620f0083a75b37a6fa85e2f99.jpg?v=1699733348&width=1946	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/12c6d59620f0083a75b37a6fa85e2f99080c.jpg	(from https://wegotkickspr.com/products/yeezy-slides-slate-grey)
21:09:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Feb%202024%2002:09:19%20GMT	http://wegotkickspr.com/cdn/shop/products/12c6d59620f0083a75b37a6fa85e2f99.jpg?v=1699733348&width=1445	F:/WinHTTrack/SitiosClone/WeGoKicks/wegotkickspr.com/cdn/shop/products/12c6d59620f0083a75b37a6fa85e2f991dc1.jpg	(from https://wegotkickspr.com/products/yeezy-slides-slate-grey)
